"date1","year_date","month_date","reg","prov","dist","cred_direc","dep_vis","dep_aho","dep_pla","dep_tot"
2020-01-31,2020,1,"Ancash","Recuay","Recuay",7692.9821,0,69.88715,187.37751,257.26466
2020-01-31,2020,1,"Ancash","Sihuas","Sihuas",9987.43937,5.01377,523.81255,785.11523,1313.94155
2020-01-31,2020,1,"Ancash","Bolognesi","Chiquian",4877.18028,0,0,0,0
2020-01-31,2020,1,"Ancash","Pomabamba","Pomabamba",2037.99928,0,0.03,0,0.03
2020-01-31,2020,1,"Apurimac","Abancay","Abancay",176881.99831,58178.37878,122674.73834,18157.8849,199011.00202
2020-01-31,2020,1,"Apurimac","Abancay","Curahuasi",2041.62368,0,0.58245,0,0.58245
2020-01-31,2020,1,"Apurimac","Andahuaylas","Andahuaylas",126539.36226,22894.98846,70510.22121,18710.17016,112115.37983
2020-01-31,2020,1,"Apurimac","Andahuaylas","Huancarama",1381.32749,0,0,0,0
2020-01-31,2020,1,"Apurimac","Cotabambas","Challhuahuacho",19609.5132,12920.74885,78159.73847,146650.73805,237731.22537
2020-01-31,2020,1,"Arequipa","Arequipa","Arequipa",5170723.79195,1263250.52349,1558930.80261,784903.97476,3607085.30086
2020-01-31,2020,1,"Arequipa","Arequipa","Cayma",759169.76349,161046.62694,629865.28819,267762.51936,1058674.43449
2020-01-31,2020,1,"Arequipa","Arequipa","Cerro Colorado",201540.56324,26009.68214,112601.0841,24804.72828,163415.49452
2020-01-31,2020,1,"Arequipa","Arequipa","Jose Luis Bustamante y Rivero",192006.91633,29779.10925,164227.39002,48520.81871,242527.31798
2020-01-31,2020,1,"Arequipa","Arequipa","La Joya",54973.37179,0,969.67048,1098.3181,2067.98858
2020-01-31,2020,1,"Arequipa","Arequipa","Miraflores",184339.28509,45260.54231,166096.59558,31305.37162,242662.50951
2020-01-31,2020,1,"Arequipa","Arequipa","Paucarpata",372792.0573,26376.91682,216619.18344,89619.93384,332616.0341
2020-01-31,2020,1,"Arequipa","Arequipa","Socabaya",37416.80333,5484.04808,26534.5011,1161.25127,33179.80045
2020-01-31,2020,1,"Arequipa","Arequipa","Alto Selva Alegre",25844.89287,0,772.30427,649.37825,1421.68252
2020-01-31,2020,1,"Arequipa","Arequipa","Yura",24982.25137,0,1348.90309,543.63101,1892.5341
2020-01-31,2020,1,"Arequipa","Arequipa","Jacobo Hunter",41767.61921,2381.49441,21267.41893,980.01595,24628.92929
2020-01-31,2020,1,"Arequipa","Arequipa","Yanahuara",295751.79029,75310.6349,291058.6683,92968.65253,459337.95573
2020-01-31,2020,1,"Arequipa","Arequipa","Mariano Melgar",18.6818,10544.89462,28903.26675,2247.78629,41695.94766
2020-01-31,2020,1,"Arequipa","Camana","Camana",120159.6344,9120.3831,67182.23337,20503.05475,96805.67122
2020-01-31,2020,1,"Arequipa","Castilla","Aplao",17175.21233,0,473.18879,526.00072,999.18951
